iter	Passed	Remaining
403	11058	2627
404	11089	2601
405	11120	2574
406	11150	2547
407	11178	2520
408	11205	2493
409	11233	2465
410	11257	2437
411	11283	2410
412	11310	2382
413	11339	2355
414	11366	2328
415	11391	2300
416	11421	2273
417	11447	2245
418	11478	2218
419	11509	2192
420	11536	2164
421	11569	2138
422	11600	2111
423	11630	2084
424	11655	2056
425	11683	2029
426	11717	2003
427	11743	1975
428	11770	1948
429	11795	1920
430	11821	1892
431	11851	1865
432	11878	1838
433	11902	1810
434	11928	1782
435	11957	1755
436	11985	1727
437	12010	1700
438	12035	1672
439	12062	1644
440	12094	1618
441	12121	1590
442	12149	1563
443	12177	1535
444	12203	1508
445	12234	1481
446	12260	1453
447	12287	1426
448	12314	1398
449	12343	1371
450	12369	1343
451	12396	1316
452	12422	1288
453	12446	1261
454	12476	1233
455	12502	1206
456	12529	1178
457	12559	1151
458	12583	1124
459	12611	1096
460	12637	1069
461	12663	1041
462	12690	1014
463	12718	986
464	12748	959
465	12777	932
466	12807	905
467	12839	877
468	12868	850
469	12897	823
470	12929	796
471	12960	768
472	12985	741
473	13012	713
474	13036	686
475	13063	658
476	13090	631
477	13117	603
478	13145	576
479	13176	549
480	13205	521
481	13235	494
482	13265	466
483	13295	439
484	13323	412
485	13352	384
486	13383	357
487	13415	329
488	13443	302
489	13473	274
490	13503	247
491	13538	220
492	13570	192
493	13597	165
494	13623	137
495	13649	110
496	13678	82
497	13704	55
498	13730	27
499	13757	0
